,ACP1,ACMP,SNUBH_V1,SNUBH_V2,TS500
ABL1,O,O,O,O,O
AKT1,O,O,O,O,O
AKT3,O,O,O,O,O
ALK,O,O,O,O,O
APC,O,O,O,O,O
AR,O,O,O,O,O
ATM,O,O,O,O,O
AXL,O,O,O,O,O
BRAF,O,O,O,O,O
BRCA1,O,O,O,O,O
BRCA2,O,O,O,O,O
CCND1,O,O,O,O,O
CDH1,O,O,O,O,O
CDK4,O,O,O,O,O
CDK6,O,O,O,O,O
CDKN2A,O,O,O,O,O
CEBPA,O,O,O,O,O
CSF1R,O,O,O,O,O
CTNNB1,O,O,O,O,O
DDR2,O,O,O,O,O
EGFR,O,O,O,O,O
ERBB2,O,O,O,O,O
ERBB3,O,O,O,O,O
ERBB4,O,O,O,O,O
ERG,O,O,O,O,O
ESR1,O,O,O,O,O
ETV1,O,O,O,O,O
ETV4,O,O,O,O,O
ETV5,O,O,O,O,O
EZH2,O,O,O,O,O
FANCA,O,O,O,O,O
FANCC,O,O,O,O,O
FANCF,O,O,O,O,O
FANCG,O,O,O,O,O
FBXW7,O,O,O,O,O
FGFR1,O,O,O,O,O
FGFR2,O,O,O,O,O
FGFR3,O,O,O,O,O
FGFR4,O,O,O,O,O
FLT3,O,O,O,O,O
FOXL2,O,O,O,O,O
GNA11,O,O,O,O,O
GNAQ,O,O,O,O,O
GNAS,O,O,O,O,O
HNF1A,O,O,O,O,O
HRAS,O,O,O,O,O
IDH1,O,O,O,O,O
IDH2,O,O,O,O,O
JAK1,O,O,O,O,O
JAK2,O,O,O,O,O
JAK3,O,O,O,O,O
KDR,O,O,O,O,O
KIT,O,O,O,O,O
KRAS,O,O,O,O,O
MAP2K1,O,O,O,O,O
MAP2K2,O,O,O,O,O
MAP2K4,O,O,O,O,O
MET,O,O,O,O,O
MLH1,O,O,O,O,O
MPL,O,O,O,O,O
MTOR,O,O,O,O,O
MYC,O,O,O,O,O
MYCN,O,O,O,O,O
NOTCH1,O,O,O,O,O
NPM1,O,O,O,O,O
NRAS,O,O,O,O,O
NTRK1,O,O,O,O,O
NTRK2,O,O,O,O,O
NTRK3,O,O,O,O,O
PDGFRA,O,O,O,O,O
PIK3CA,O,O,O,O,O
PIK3R1,O,O,O,O,O
PPARG,O,O,O,O,O
PTEN,O,O,O,O,O
PTPN11,O,O,O,O,O
RAF1,O,O,O,O,O
RB1,O,O,O,O,O
RET,O,O,O,O,O
ROS1,O,O,O,O,O
RUNX1,O,O,O,O,O
SMAD4,O,O,O,O,O
SMARCB1,O,O,O,O,O
SMO,O,O,O,O,O
SRC,O,O,O,O,O
STK11,O,O,O,O,O
TP53,O,O,O,O,O
VHL,O,O,O,O,O
WT1,O,O,O,O,O
ABL2,X,O,X,O,O
ACVR1,X,O,X,O,O
ACVR1B,X,O,X,O,O
ADGRA2,X,O,X,O,X
AGO2,X,O,X,O,X
AHNAK2,X,O,X,O,X
AKT2,X,O,X,O,O
ALOX12B,X,O,X,O,O
AMER1,X,O,X,O,X
ANKRD11,X,O,X,O,O
ARAF,X,O,X,O,O
ARFRP1,X,O,X,O,O
ARID1A,X,O,X,O,O
ARID1B,X,O,X,O,O
ARID2,X,O,X,O,O
ARID5B,X,O,X,O,O
ASXL1,X,O,X,O,O
ASXL2,X,O,X,O,O
ATR,X,O,O,O,O
ATRX,X,O,X,O,O
AURKA,X,O,X,O,O
AURKB,X,O,X,O,O
AURKC,X,O,X,O,X
AXIN1,X,O,X,O,O
AXIN2,X,O,X,O,O
B2M,X,O,X,O,O
BABAM1,X,O,X,O,X
BAP1,X,O,O,O,O
BARD1,X,O,O,O,O
BBC3,X,O,X,O,O
BCL10,X,O,X,O,O
BCL2,X,O,X,O,O
BCL2L1,X,O,X,O,O
BCL2L11,X,O,X,O,O
BCL2L2,X,O,X,O,O
BCL6,X,O,X,O,O
BCOR,X,O,X,O,O
BCORL1,X,O,X,O,O
BCR,X,O,X,O,O
BIRC3,X,O,X,O,O
BLM,X,O,X,O,O
BMPR1A,X,O,X,O,O
BRD2,X,O,X,O,X
BRD3,X,O,X,O,X
BRD4,X,O,X,O,O
BRIP1,X,O,X,O,O
BTG1,X,O,X,O,O
BTK,X,O,X,O,O
CALR,X,O,X,O,O
CARD11,X,O,X,O,O
CARM1,X,O,X,O,X
CASP8,X,O,X,O,O
CBFB,X,O,X,O,O
CBL,X,O,X,O,O
CCND2,X,O,X,O,O
CCND3,X,O,X,O,O
CCNE1,X,O,X,O,O
CD274,X,O,X,O,O
CD276,X,O,X,O,O
CD79A,X,O,X,O,O
CD79B,X,O,X,O,O
CDC42,X,O,X,O,X
CDC73,X,O,X,O,O
CDK12,X,O,X,O,O
CDK8,X,O,X,O,O
CDKN1A,X,O,X,O,O
CDKN1B,X,O,X,O,O
CDKN2B,X,O,X,O,O
CDKN2C,X,O,X,O,O
CENPA,X,O,X,O,O
CHD2,X,O,X,O,O
CHD4,X,O,X,O,O
CHEK1,X,O,O,O,O
CHEK2,X,O,O,O,O
CIC,X,O,X,O,O
CREBBP,X,O,X,O,O
CRKL,X,O,X,O,O
CRLF2,X,O,X,O,O
CSDE1,X,O,X,O,X
CSF3R,X,O,X,O,O
CTCF,X,O,X,O,O
CTLA4,X,O,X,O,O
CTNNA1,X,O,X,O,O
CUL3,X,O,X,O,O
CXCR4,X,O,X,O,O
CYLD,X,O,X,O,O
CYSLTR2,X,O,X,O,X
DAXX,X,O,X,O,O
DCUN1D1,X,O,X,O,O
DDR1,X,O,X,O,X
DICER1,X,O,X,O,O
DIS3,X,O,X,O,O
DNAJB1,X,O,X,O,O
DNMT1,X,O,X,O,O
DNMT3A,X,O,X,O,O
DNMT3B,X,O,X,O,O
DOT1L,X,O,X,O,O
DROSHA,X,O,X,O,X
DUSP4,X,O,X,O,X
E2F3,X,O,X,O,O
EED,X,O,X,O,O
EGFL7,X,O,X,O,O
EIF1AX,X,O,X,O,O
EIF4A2,X,O,X,O,O
EIF4E,X,O,X,O,O
ELF3,X,O,X,O,X
EMSY,X,O,O,O,X
EP300,X,O,X,O,O
EPAS1,X,O,X,O,X
EPCAM,X,O,X,O,O
EPHA3,X,O,X,O,O
EPHA5,X,O,X,O,O
EPHA7,X,O,X,O,O
EPHB1,X,O,X,O,O
ERCC2,X,O,X,O,O
ERCC3,X,O,X,O,O
ERCC4,X,O,X,O,O
ERCC5,X,O,X,O,O
ERF,X,O,X,O,X
ERRFI1,X,O,X,O,O
ETV6,X,O,X,O,O
EWSR1,X,O,X,O,O
EZH1,X,O,X,O,X
FAM175A,X,O,X,O,O
FAM46C,X,O,X,O,O
FAM58A,X,O,X,O,X
FANCD2,X,O,X,O,O
FANCE,X,O,X,O,O
FANCL,X,O,X,O,O
FAS,X,O,X,O,O
FAT1,X,O,X,O,O
FGF10,X,O,X,O,O
FGF14,X,O,X,O,O
FGF19,X,O,X,O,O
FGF23,X,O,X,O,O
FGF3,X,O,X,O,O
FGF4,X,O,X,O,O
FGF6,X,O,X,O,O
FH,X,O,X,O,O
FLCN,X,O,X,O,O
FLT1,X,O,X,O,O
FLT4,X,O,X,O,O
FOXA1,X,O,X,O,O
FOXO1,X,O,X,O,O
FOXP1,X,O,X,O,O
FRS2,X,O,X,O,O
FUBP1,X,O,X,O,O
FYN,X,O,X,O,O
GABRA6,X,O,X,O,O
GATA1,X,O,X,O,O
GATA2,X,O,X,O,O
GATA3,X,O,X,O,O
GATA4,X,O,X,O,O
GATA6,X,O,X,O,O
GID4,X,O,X,O,O
GLI1,X,O,X,O,O
GNA13,X,O,X,O,O
GPS2,X,O,X,O,O
GREM1,X,O,X,O,O
GRIN2A,X,O,X,O,O
GRM3,X,O,X,O,O
GSK3B,X,O,X,O,O
H3F3A,X,O,X,O,O
